Entry	Entry Name	Gene Names	Subcellular location [CC]
A0A0B7P3V8	YP41B_YEAST	TY4B-P YPLCTy4-1 POL YPL060C-A	SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000250}.
A0A6C1DQ03	A0A6C1DQ03_SACPS	ARO1_1 ARO1 GRS66_000871	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.
A0A6C1DUV0	A0A6C1DUV0_SACPS	FAS1_1 GRS66_002991	
A0A6C1E2B0	A0A6C1E2B0_SACPS	ARO1_2 ARO1 GRS66_005931	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.
A0A6C1EBN7	A0A6C1EBN7_SACPS	FAS1_2 GRS66_008903	
A0A8H8UN41	A0A8H8UN41_YEASX	ARO1 GI527_G0001058	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.
A6ZM04	PIF1_YEAS7	PIF1 TST1 SCY_4116	SUBCELLULAR LOCATION: [Isoform Nuclear]: Nucleus, nucleolus {ECO:0000250}. Note=Mainly concentrated in the nucleolus, and occasionally redistributes to single nuclear foci outside the nucleolus, probably sites of DNA repair. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform Mitochondrial]: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03176}; Peripheral membrane protein {ECO:0000250}; Matrix side {ECO:0000250}. Note=Bound to the mitochondrial inner membrane either directly or indirectly via a protein complex. {ECO:0000250}.
A6ZXH8	ATG9_YEAS7	ATG9 APG9 AUT9 CVT7 SCY_0766	SUBCELLULAR LOCATION: Preautophagosomal structure membrane {ECO:0000250|UniProtKB:Q12142}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q12142}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q12142}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q12142}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q12142}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q12142}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q12142}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q12142}. Mitochondrion membrane {ECO:0000250|UniProtKB:Q12142}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q12142}. Note=The vast majority of ATG9 exists on cytoplasmic mobile vesicles (designated ATG9 vesicles) that were derived from the Golgi apparatus in a process involving ATG23 and ATG27. The peripheral pool of ATG9 partially colocalizes within tubulovesicular clusters adjacent to mitochondria. It appears that membrane that contains ATG9 is delivered to the autophagosome from the Golgi-endosomal system rather than from the ER or mitochondria. Within the PAS, localizes at the edge of the isolation membrane. ATG9 cycling is regulated by at least the conserved oligomeric Golgi (COG) complex, ARP2, HOG1, PIK1, SEC2, SEC9, SSO1 and SSO2. {ECO:0000250|UniProtKB:Q12142}.
A6ZY89	ARO1_YEAS7	ARO1 SCY_1027	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03143}.
A6ZZE4	A6ZZE4_YEAS7	FAS1 SCY_3204	
B3LGE9	ARO1_YEAS1	ARO1 SCRG_00391	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03143}.
B3LQS4	B3LQS4_YEAS1	SCRG_03847	
C7GIN5	ARO1_YEAS2	ARO1 C1Q_00021	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03143}.
C7GJ28	C7GJ28_YEAS2	FAS1 C1Q_00154	
C8Z543	ARO1_YEAS8	ARO1 EC1118_1D0_3829g	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03143}.
C8ZBZ3	C8ZBZ3_YEAS8	EC1118_1K5_0408g	
E9P8D2	MPR1_YEASX	MPR1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11555637, ECO:0000269|PubMed:20550582}. Mitochondrion {ECO:0000269|PubMed:20550582}.
G2WAM9	G2WAM9_YEASK	K7_ARO1 ARO1 SYK7_012871	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.
G2WHL1	G2WHL1_YEASK	K7_FAS1 SYK7_041551	
H0GDF8	H0GDF8_SACCK	ARO1 VIN7_0845	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.
H0GJK0	H0GJK0_SACCK	VIN7_2844	
N1P0M8	N1P0M8_YEASC	CENPK1137D_1128	
N1P212	ATH1_YEASC	CENPK1137D_1727	SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:P48016}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:P48016}. Vacuole lumen {ECO:0000250|UniProtKB:P48016}. Periplasm {ECO:0000269|PubMed:15128531}. Note=May localize to the periplasm either as a membrane-bound or as a free protein (PubMed:15128531). Vacuolar localization appears to be associated with its degradation (By similarity). {ECO:0000250|UniProtKB:P48016, ECO:0000269|PubMed:15128531}.
N1P6D0	N1P6D0_YEASC	ARO1 CENPK1137D_3951	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03143, ECO:0000256|PIRNR:PIRNR000514}.
O13297	CET1_YEAST	CET1 YPL228W P1433	SUBCELLULAR LOCATION: Nucleus.
O13329	FOB1_YEAST	FOB1 HRM1 YDR110W YD9727.06	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:10230397, ECO:0000269|PubMed:14562095}.
O13516	RS9A_YEAST	RPS9A RPS13A YS11A YPL081W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}. Nucleus, nucleolus {ECO:0000269|PubMed:15590835}.
O13527	YA11B_YEAST	TY1B-A YARCTy1-1 POL YAR009C	SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000250}.
O13535	YH11B_YEAST	TY1B-H YHRCTy1-1 POL YHR214C-B	SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000250}.
O13539	THP2_YEAST	THP2 YHR167W	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11060033, ECO:0000269|PubMed:14562095}.
O13547	CCW14_YEAST	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	SUBCELLULAR LOCATION: Secreted, cell wall. Membrane; Lipid-anchor, GPI-anchor. Note=Covalently-linked GPI-modified cell wall protein (GPI-CWP).
O13563	RPN13_YEAST	RPN13 DAQ1 YLR421C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
O14467	MBF1_YEAST	MBF1 SUF13 YOR298C-A	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
