Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Subcellular location [CC]
A0A0B7P3V8	reviewed	YP41B_YEAST	Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY4B-P YPLCTy4-1 POL YPL060C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1104	SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000250}.
O13297	reviewed	CET1_YEAST	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)	CET1 YPL228W P1433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549	SUBCELLULAR LOCATION: Nucleus.
O13329	reviewed	FOB1_YEAST	DNA replication fork-blocking protein FOB1	FOB1 HRM1 YDR110W YD9727.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	566	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:10230397, ECO:0000269|PubMed:14562095}.
O13516	reviewed	RS9A_YEAST	40S ribosomal protein S9-A (RP21) (S13) (Small ribosomal subunit protein uS4-A) (YP28) (YS11)	RPS9A RPS13A YS11A YPL081W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	197	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}. Nucleus, nucleolus {ECO:0000269|PubMed:15590835}.
O13527	reviewed	YA11B_YEAST	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-A YARCTy1-1 POL YAR009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1196	SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000250}.
O13535	reviewed	YH11B_YEAST	Transposon Ty1-H Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-H YHRCTy1-1 POL YHR214C-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1793	SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000250}.
O13539	reviewed	THP2_YEAST	THO complex subunit THP2	THP2 YHR167W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11060033, ECO:0000269|PubMed:14562095}.
O13547	reviewed	CCW14_YEAST	Covalently-linked cell wall protein 14 (Inner cell wall protein)	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238	SUBCELLULAR LOCATION: Secreted, cell wall. Membrane; Lipid-anchor, GPI-anchor. Note=Covalently-linked GPI-modified cell wall protein (GPI-CWP).
O13563	reviewed	RPN13_YEAST	26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)	RPN13 DAQ1 YLR421C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	156	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
O14467	reviewed	MBF1_YEAST	Multiprotein-bridging factor 1 (Suppressor of frameshift mutations protein 13)	MBF1 SUF13 YOR298C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	151	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
O60200	reviewed	MDM35_YEAST	Mitochondrial distribution and morphology protein 35	MDM35 YKL053C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	86	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}. Mitochondrion intermembrane space {ECO:0000269|PubMed:17095012, ECO:0000269|PubMed:20622808, ECO:0000269|PubMed:20657548, ECO:0000269|PubMed:22984289}.
O74700	reviewed	TIM9_YEAST	Mitochondrial import inner membrane translocase subunit TIM9	TIM9 YEL020W-A YEL020BW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	87	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:9822593, ECO:0000269|PubMed:9889188}; Peripheral membrane protein {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:9822593, ECO:0000269|PubMed:9889188}; Intermembrane side {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:9822593, ECO:0000269|PubMed:9889188}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.
O75012	reviewed	MRP10_YEAST	37S ribosomal protein MRP10, mitochondrial (Mitochondrial small ribosomal subunit protein mS37) (YmS-T)	MRP10 YDL045W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	95	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095}. Mitochondrion matrix {ECO:0000269|PubMed:24360785}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.
O94742	reviewed	SEM1_YEAST	26S proteasome complex subunit SEM1	SEM1 DSH1 YDR363W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	89	
P00044	reviewed	CYC1_YEAST	Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)	CYC1 YJR048W J1653	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289, ECO:0000269|PubMed:9866716}.
